id,ident,type,name,municipality,iso_country,iso_region,iata_code,icao_code,latitude_deg,longitude_deg
2467,EGPN,medium_airport,Dundee Airport,Dundee,GB,GB-SCT,DND,EGPN,56.452499,-3.02583
29126,EGED,medium_airport,Eday Airport,Eday,GB,GB-SCT,EOI,EGED,59.19060134887695,-2.7722198963165283
2462,EGPH,large_airport,Edinburgh Airport,Edinburgh,GB,GB-SCT,EDI,EGPH,55.950145,-3.372288
29173,EGPR,medium_airport,Barra Airport,Eoligarry,GB,GB-SCT,BRR,EGPR,57.0228,-7.44306
2481,EGTE,medium_airport,Exeter International Airport,"Exeter, Devon",GB,GB-ENG,EXT,EGTE,50.734261,-3.413984
2461,EGPF,large_airport,Glasgow Airport,Glasgow,GB,GB-SCT,GLA,EGPF,55.871899,-4.43306
2442,EGNJ,medium_airport,Humberside Airport,"Grimsby, Lincolnshire",GB,GB-ENG,HUY,EGNJ,53.576152,-0.34954
2460,EGPE,medium_airport,Inverness Airport,Inverness,GB,GB-SCT,INV,EGPE,57.5425,-4.0475
2463,EGPI,medium_airport,Islay Airport,"Isle of Islay, Argyll and Bute",GB,GB-SCT,ILY,EGPI,55.682708,-6.257525
2456,EGPA,medium_airport,Kirkwall Airport,"Kirkwall, Orkney Islands",GB,GB-SCT,KOI,EGPA,58.957903,-2.905077
2444,EGNM,large_airport,Leeds Bradford Airport,"Leeds, West Yorkshire",GB,GB-ENG,LBA,EGNM,53.865898,-1.66057
2457,EGPB,medium_airport,Sumburgh Airport,"Lerwick, Shetland",GB,GB-SCT,LSI,EGPB,59.878899,-1.29556
2418,EGGP,large_airport,Liverpool John Lennon Airport,Liverpool,GB,GB-ENG,LPL,EGGP,53.334863,-2.849637
2430,EGLC,medium_airport,London City Airport,London,GB,GB-ENG,LCY,EGLC,51.505299,0.055278
2429,EGKK,large_airport,London Gatwick Airport,London,GB,GB-ENG,LGW,EGKK,51.148744,-0.185739
2434,EGLL,large_airport,London Heathrow Airport,London,GB,GB-ENG,LHR,EGLL,51.470748,-0.459909
2476,EGSS,large_airport,London Stansted Airport,"London, Essex",GB,GB-ENG,STN,EGSS,51.884998,0.235
2419,EGGW,large_airport,London Luton Airport,"Luton, Luton",GB,GB-ENG,LTN,EGGW,51.874699,-0.368333
2398,EGCC,large_airport,Manchester Airport,"Manchester, Greater Manchester",GB,GB-ENG,MAN,EGCC,53.349375,-2.279521
2448,EGNT,large_airport,Newcastle International Airport,"Newcastle upon Tyne, Tyne and Wear",GB,GB-ENG,NCL,EGNT,55.037958,-1.689577
2404,EGHQ,medium_airport,Cornwall Airport Newquay,Newquay,GB,GB-ENG,NQY,EGHQ,50.440601,-4.99541
2475,EGSH,medium_airport,Norwich Airport,"Norwich, Norfolk",GB,GB-ENG,NWI,EGSH,52.6758,1.28278
2450,EGNX,large_airport,East Midlands Airport,"Nottingham, Leicestershire",GB,GB-ENG,EMA,EGNX,52.8311,-1.32806
2464,EGPK,large_airport,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,GB-SCT,PIK,EGPK,55.501499,-4.577182
2422,EGHI,medium_airport,Southampton Airport,Southampton,GB,GB-ENG,SOU,EGHI,50.950298,-1.3568
