route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
GOA-CRL,GOA,CRL,Genova (GE),Charleroi,IT,BE,748.8,1,back_on_track_ES 457,Milano Porta Garibaldi,Bruxelles Midi / Brussel Zuid,1107.0,1060.0,night,3,166.05,faible_potentiel,73.422,country_distance
GOA-MUC,GOA,MUC,Genova (GE),Munich,IT,DE,493.0,1,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,70.553,country_distance
SUF-TRN,SUF,TRN,Lamezia Terme (CZ),Caselle Torinese (TO),IT,IT,995.7,2,back_on_track_FS IC Notte 755,Milano Centrale,Lecce,1032.0,700.0,night,7,154.8,potentiel_moyen,93.731,country_distance
SUF-HHN,SUF,HHN,Lamezia Terme (CZ),Frankfurt am Main (Lautzenhausen),IT,DE,1417.5,1,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,82.886,country_distance
SUF-MUC,SUF,MUC,Lamezia Terme (CZ),Munich,IT,DE,1109.7,1,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,95.98,country_city_distance
SUF-FCO,SUF,FCO,Lamezia Terme (CZ),Rome,IT,IT,467.2,2,back_on_track_FS IC Notte 788,Lecce,Roma Termini,647.0,475.0,night,1,97.05,fort_potentiel,84.879,country_distance
SUF-STR,SUF,STR,Lamezia Terme (CZ),Stuttgart,IT,DE,1224.0,1,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,95.027,country_city_distance
SUF-VCE,SUF,VCE,Lamezia Terme (CZ),Venezia (VE),IT,IT,800.6,2,back_on_track_FS IC Notte 774,Roma Termini,Trieste Centrale,711.0,680.0,night,7,106.65,potentiel_moyen,94.515,country_city_distance
SUF-VIE,SUF,VIE,Lamezia Terme (CZ),Vienna,IT,AT,1023.8,1,back_on_track_ÖBB NJ 40294,Roma Tiburtina,Wien Hbf,1112.0,882.0,night,7,166.8,faible_potentiel,91.83,country_distance
NAP-TRN,NAP,TRN,Napoli,Caselle Torinese (TO),IT,IT,721.7,2,back_on_track_FS IC Notte 770,Trieste Centrale,Roma Termini,711.0,684.0,night,7,106.65,potentiel_moyen,95.149,country_distance
