airline_iata,airline_id,origin_iata,origin_airport_id,destination_iata,destination_airport_id,codeshare,stops,equipment,origin_name,origin_city,origin_country,origin_latitude,origin_longitude,destination_name,destination_city,destination_country,destination_latitude,destination_longitude,air_distance_km,route_pair
3R,3545.0,DME,4029.0,TIV,1743.0,,0,SU9 73G,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Tivat Airport,Tivat,ME,42.404701,18.723301,2001.1,DME-TIV
3R,3545.0,EGO,6156.0,DME,4029.0,,0,SU9,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,537.1,EGO-DME
3R,3545.0,TIV,1743.0,DME,4029.0,,0,SU9 73G,Tivat Airport,Tivat,ME,42.404701,18.723301,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,2001.1,TIV-DME
4G,2524.0,EYK,8428.0,VKO,2988.0,,0,YK2,Beloyarskiy Airport,,RU,63.686901,66.698601,Vnukovo International Airport,Moscow,RU,55.591499,37.261501,1859.8,EYK-VKO
4G,2524.0,VKO,2988.0,EYK,8428.0,,0,YK2,Vnukovo International Airport,Moscow,RU,55.591499,37.261501,Beloyarskiy Airport,,RU,63.686901,66.698601,1859.8,VKO-EYK
4T,1401.0,PRN,1742.0,ZRH,1678.0,,0,320,Priština Adem Jashari International Airport,Prishtina,XK,42.5728,21.035801,Zürich Airport,Zurich,CH,47.458056,8.548056,1120.0,PRN-ZRH
4T,1401.0,SKP,1737.0,ZRH,1678.0,,0,320,Skopje International Airport,Ilinden,MK,41.958087,21.622581,Zürich Airport,Zurich,CH,47.458056,8.548056,1198.4,SKP-ZRH
4T,1401.0,ZRH,1678.0,PRN,1742.0,,0,320,Zürich Airport,Zurich,CH,47.458056,8.548056,Priština Adem Jashari International Airport,Prishtina,XK,42.5728,21.035801,1120.0,ZRH-PRN
4T,1401.0,ZRH,1678.0,SKP,1737.0,,0,320,Zürich Airport,Zurich,CH,47.458056,8.548056,Skopje International Airport,Ilinden,MK,41.958087,21.622581,1198.4,ZRH-SKP
4U,2548.0,AGP,1230.0,STR,350.0,,0,320 319,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,1738.9,AGP-STR
4U,2548.0,AMS,580.0,HAM,342.0,,0,CRJ,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.76389,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,379.4,AMS-HAM
4U,2548.0,AOI,4309.0,DUS,345.0,,0,CRJ,Marche Airport,Falconara Marittima (AN),IT,43.616299,13.3623,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,985.9,AOI-DUS
4U,2548.0,ARN,737.0,CGN,344.0,,0,CRJ,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,1188.8,ARN-CGN
4U,2548.0,ARN,737.0,DUS,345.0,,0,CRJ,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,1162.5,ARN-DUS
