service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49520686,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49520688,1,1,0,1,1,0,0,20260225,20260324
IDFM:TN:49520694,1,1,0,1,1,0,0,20260225,20260324
IDFM:TN:49520743,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49520764,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49520801,0,1,1,1,1,0,0,20260310,20260313
IDFM:TN:49520986,0,0,1,0,0,0,0,20260310,20260320
IDFM:TN:49520989,0,0,1,0,1,0,0,20260318,20260320
IDFM:TN:49520998,1,0,0,0,0,0,1,20260301,20260323
IDFM:TN:49521023,0,0,0,0,0,1,1,20260301,20260322
IDFM:TN:49521033,0,0,0,0,0,1,1,20260228,20260301
IDFM:TN:49521115,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49521116,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49521117,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49521233,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49521236,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49521237,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49521240,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49521243,0,0,0,0,0,0,1,20260301,20260315
IDFM:TN:49521256,0,0,0,0,0,0,1,20260228,20260308
IDFM:TN:49521274,0,0,0,0,0,1,1,20260307,20260322
IDFM:TN:49521297,0,0,0,0,0,1,1,20260301,20260322
IDFM:TN:49521339,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49521351,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49521431,1,0,1,1,1,0,0,20260225,20260323
IDFM:TN:49521453,0,1,0,0,0,0,0,20260303,20260324
IDFM:TN:49521484,1,0,0,1,1,0,0,20260225,20260319
IDFM:TN:49521486,1,1,1,1,1,0,0,20260225,20260320
IDFM:TN:49521492,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49521659,0,1,0,0,0,0,0,20260310,20260324
IDFM:TN:49521662,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49521663,1,1,1,1,1,0,0,20260316,20260320
IDFM:TN:49521668,1,0,0,0,0,0,0,20260302,20260323
IDFM:TN:49521669,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49521671,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49521673,1,1,0,0,0,0,1,20260228,20260324
IDFM:TN:49521677,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49521707,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49521767,0,0,0,0,0,1,1,20260307,20260308
IDFM:TN:49521820,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49521853,0,1,1,0,0,0,0,20260310,20260311
IDFM:TN:49521927,0,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49521939,1,0,0,0,0,0,0,20260309,20260309
IDFM:TN:49522032,0,0,0,0,0,1,0,20260228,20260314
IDFM:TN:49522040,0,0,0,0,0,0,1,20260301,20260308
IDFM:TN:49522042,0,0,0,0,0,0,1,20260301,20260315
IDFM:TN:49522057,0,0,0,0,0,1,0,20260228,20260314
IDFM:TN:49522075,0,0,0,0,0,1,0,20260301,20260314
IDFM:TN:49522077,0,0,0,0,0,1,0,20260228,20260307
IDFM:TN:49522082,0,0,0,0,0,0,1,20260302,20260315
IDFM:TN:49522142,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49522143,1,1,1,1,1,1,1,20260227,20260324
IDFM:TN:49522144,1,1,1,1,1,1,1,20260228,20260324
IDFM:TN:49522155,0,0,0,0,0,0,1,20260301,20260324
IDFM:TN:49522156,0,0,0,0,0,1,1,20260228,20260324
IDFM:TN:49522157,0,0,0,0,0,1,1,20260228,20260324
IDFM:TN:49522161,1,1,1,1,1,1,1,20260301,20260324
IDFM:TN:49522163,1,1,1,1,1,1,1,20260225,20260313
IDFM:TN:49522177,0,0,0,0,1,0,0,20260227,20260313
IDFM:TN:49522182,0,0,0,0,0,1,0,20260228,20260324
IDFM:TN:49522184,1,1,1,1,0,1,1,20260225,20260324
IDFM:TN:49522188,1,1,1,1,1,0,1,20260225,20260313
IDFM:TN:49522191,0,1,0,1,1,1,1,20260226,20260324
IDFM:TN:49522195,1,0,1,0,0,0,0,20260225,20260311
IDFM:TN:49522199,1,1,0,0,0,1,1,20260314,20260324
