from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463182,IDFM:472814,2,304
IDFM:463095,IDFM:22118,2,247
IDFM:21911,IDFM:22218,2,480
IDFM:484166,IDFM:29239,2,326
IDFM:21955,IDFM:monomodalStopPlace:473115,2,52
IDFM:471446,IDFM:472463,2,69
IDFM:472914,IDFM:monomodalStopPlace:411317,2,28
IDFM:472722,IDFM:471214,2,52
IDFM:424724,IDFM:470673,2,259
IDFM:472890,IDFM:471335,2,146
IDFM:463120,IDFM:412354,2,296
IDFM:21962,IDFM:471495,2,237
IDFM:472980,IDFM:monomodalStopPlace:473404,2,166
IDFM:471520,IDFM:486682,2,179
IDFM:470707,IDFM:472314,2,19
IDFM:26958,IDFM:471426,2,134
IDFM:471631,IDFM:monomodalStopPlace:47949,2,7
IDFM:monomodalStopPlace:473426,IDFM:472463,2,290
IDFM:463253,IDFM:22129,2,12
IDFM:472950,IDFM:470817,2,93
IDFM:471983,IDFM:472817,2,17
IDFM:472142,IDFM:472102,2,47
IDFM:472323,IDFM:monomodalStopPlace:43072,2,60
IDFM:412354,IDFM:463116,2,180
IDFM:471716,IDFM:472105,2,18
IDFM:470685,IDFM:471656,2,18
IDFM:471704,IDFM:472624,2,123
IDFM:472344,IDFM:471167,2,151
IDFM:472267,IDFM:472015,2,177
IDFM:471721,IDFM:470953,2,338
IDFM:21964,IDFM:463188,2,274
IDFM:471014,IDFM:472389,2,104
IDFM:471152,IDFM:472662,2,60
IDFM:monomodalStopPlace:47486,IDFM:470646,2,30
IDFM:472546,IDFM:471063,2,105
IDFM:22218,IDFM:472208,2,319
IDFM:monomodalStopPlace:46444,IDFM:472391,2,314
IDFM:471335,IDFM:472959,2,136
IDFM:21965,IDFM:463063,2,180
IDFM:472959,IDFM:472724,2,82
IDFM:34701,IDFM:472725,2,128
IDFM:monomodalStopPlace:477262,IDFM:472407,2,175
IDFM:470683,IDFM:monomodalStopPlace:473615,2,103
IDFM:22149,IDFM:monomodalStopPlace:462394,2,203
IDFM:monomodalStopPlace:411362,IDFM:470928,2,31
IDFM:472274,IDFM:monomodalStopPlace:47962,2,2
IDFM:472718,IDFM:471592,2,147
IDFM:16215,IDFM:471651,2,57
IDFM:monomodalStopPlace:43157,IDFM:470860,2,53
IDFM:472546,IDFM:21962,2,238
IDFM:monomodalStopPlace:473294,IDFM:472371,2,82
IDFM:463183,IDFM:monomodalStopPlace:470519,2,356
IDFM:471167,IDFM:463023,2,308
IDFM:36825,IDFM:471904,2,343
IDFM:472018,IDFM:16332,2,175
IDFM:471457,IDFM:472249,2,35
IDFM:471462,IDFM:monomodalStopPlace:473064,2,143
IDFM:424467,IDFM:monomodalStopPlace:473243,2,82
IDFM:472255,IDFM:472713,2,44
IDFM:21962,IDFM:monomodalStopPlace:473237,2,170
IDFM:471795,IDFM:480208,2,75
IDFM:471742,IDFM:471650,2,112
IDFM:471022,IDFM:472354,2,135
IDFM:monomodalStopPlace:470519,IDFM:472541,2,60
IDFM:monomodalStopPlace:46689,IDFM:monomodalStopPlace:43038,2,235
IDFM:472800,IDFM:471752,2,26
IDFM:463013,IDFM:22086,2,0
IDFM:monomodalStopPlace:473343,IDFM:monomodalStopPlace:462901,2,118
IDFM:22164,IDFM:463318,2,96
IDFM:472826,IDFM:27031,2,69
IDFM:monomodalStopPlace:462394,IDFM:470817,2,32
IDFM:470737,IDFM:472104,2,94
IDFM:monomodalStopPlace:43219,IDFM:471389,2,55
IDFM:21935,IDFM:473007,2,354
IDFM:monomodalStopPlace:411461,IDFM:471515,2,67
IDFM:470624,IDFM:472546,2,58
IDFM:monomodalStopPlace:462394,IDFM:monomodalStopPlace:58572,2,240
IDFM:471229,IDFM:472553,2,8
IDFM:471039,IDFM:472568,2,30
IDFM:471592,IDFM:472344,2,24
IDFM:471139,IDFM:471427,2,92
IDFM:472788,IDFM:monomodalStopPlace:473338,2,70
IDFM:472013,IDFM:472208,2,116
IDFM:8083,IDFM:471714,2,269
IDFM:462954,IDFM:22038,2,361
IDFM:471607,IDFM:471326,2,84
IDFM:25609,IDFM:monomodalStopPlace:43251,2,215
IDFM:472208,IDFM:471940,2,16
IDFM:463067,IDFM:21919,2,138
IDFM:monomodalStopPlace:473332,IDFM:471139,2,128
IDFM:471335,IDFM:471971,2,152
IDFM:21964,IDFM:472519,2,338
IDFM:471918,IDFM:471552,2,16
IDFM:472106,IDFM:monomodalStopPlace:473619,2,151
